tittle , url , addr1 , addr2 , number of post , rating value , category , price 
Trident Grill , https://www.yelp.com/biz/trident-grill-tucson-2 , 2033 E Speedway Blvd , Tucson , 318 , 4 , Sports Bars , $$
Zinburger , https://www.yelp.com/biz/zinburger-tucson-2 , 6390 E Grant Rd , Tucson , 551 , 4 , Burgers , $$
El Güero Canelo , https://www.yelp.com/biz/el-g%C3%BCero-canelo-tucson-6 , 2480 N Oracle Rd , Tucson , 603 , 4 , Mexican , $
Vina Vietnamese Street Food , https://www.yelp.com/biz/vina-vietnamese-street-food-tucson-3 , 4230 N Oracle Rd , Tucson , 222 , 4 , Vietnamese , $
Kens Hardwood Barbecue , https://www.yelp.com/biz/kens-hardwood-barbecue-tucson , 5250 E 22nd St , Tucson , 161 , 4 , Barbeque , $$
Juice Envy , https://www.yelp.com/biz/juice-envy-tucson , 1980 W Orange Grove Rd , Tucson , 27 , 5 , Juice Bars &amp; Smoothies , $$
Big Heart Coffee , https://www.yelp.com/biz/big-heart-coffee-tucson , 4802 E 22nd St , Tucson , 66 , 4 , Coffee &amp; Tea , $
MOD Pizza , https://www.yelp.com/biz/mod-pizza-tucson-2 , 4386 N Oracle Rd , Tucson , 119 , 4 , Fast Food , $ , https://www.yelp.com/biz/mod-pizza-tucson-3 , 6351 E Broadway Blvd , Tucson , 137 , 4 , Pizza , $$
Village Bakehouse , https://www.yelp.com/biz/village-bakehouse-tucson , 7882 N Oracle Rd , Tucson , 246 , 4 , Bakeries , $
Nadines Bakery , https://www.yelp.com/biz/nadines-bakery-tucson-2 , 4553 E Broadway Blvd , Tucson , 172 , 4 , Bakeries , $$
La Olla Mexican Cafe , https://www.yelp.com/biz/la-olla-mexican-cafe-marana , 8553 N Silverbell Rd , Tucson , 224 , 4 , Mexican , $$
Scordato’s Pizzeria , https://www.yelp.com/biz/scordatos-pizzeria-tucson , 4911 N Stone Ave , Tucson , 378 , 4 , Pizza , $$
Mantis Gourmet Chinese Food , https://www.yelp.com/biz/mantis-gourmet-chinese-food-marana , 8250 N Cortaro Rd , Tucson , 158 , 4 , Chinese , $
AJ’s Fine Foods , https://www.yelp.com/biz/ajs-fine-foods-tucson-2 , 2805 E Skyline Dr , Tucson , 230 , 4 , Grocery , $$
Little Anthony’s Diner , https://www.yelp.com/biz/little-anthonys-diner-tucson , 7010 E Broadway Blvd , Tucson , 283 , 4 , Diners , $$
Topgolf , https://www.yelp.com/biz/topgolf-tucson , 4050 W Costco Pl , Tucson , 187 , 4 , American (New) , $$
North Italia , https://www.yelp.com/biz/north-italia-tucson , 2995 E Skyline Dr , Tucson , 728 , 4 , Italian , $$
PokeZone , https://www.yelp.com/biz/pokezone-tucson-3 , 54 W Congress St , Tucson , 217 , 4 , Bars , $$
Dante’s Fire , https://www.yelp.com/biz/dantes-fire-tucson , 2526 E Grant Rd , Tucson , 465 , 4 , Cocktail Bars , $$
Desert Dream Ice Cream , https://www.yelp.com/biz/desert-dream-ice-cream-tucson-2 , 210 N 4th Ave , Tucson , 37 , 4 , Desserts , 
Divine Bovine Burgers , https://www.yelp.com/biz/divine-bovine-burgers-tucson , 1021 N Wilmot St , Tucson , 153 , 4 , Burgers , $$
Children’s Museum Tucson , https://www.yelp.com/biz/childrens-museum-tucson-tucson-3 , 200 S 6th Ave , Tucson , 117 , 4 , Children's Museums , 
Greek House , https://www.yelp.com/biz/greek-house-tucson , 1710 E Speedway Blvd , Tucson , 187 , 4 , Greek , $
Caffe Milano , https://www.yelp.com/biz/caffe-milano-tucson-5 , 46 W Congress St , Tucson , 179 , 4 , Italian , $$
The Drunken Chicken , https://www.yelp.com/biz/the-drunken-chicken-tucson , 429 N 4th Ave , Tucson , 166 , 4 , American (New) , $$
Jun Dynasty Chinese Restaurant , https://www.yelp.com/biz/jun-dynasty-chinese-restaurant-tucson-2 , 2933 E Grant Rd , Tucson , 339 , 4 , Szechuan , $$
Rocco’s Little Chicago , https://www.yelp.com/biz/roccos-little-chicago-tucson , 2707 E Broadway Blvd , Tucson , 526 , 4 , Pizza , $$
Barrio Brewing , https://www.yelp.com/biz/barrio-brewing-tucson , 800 E 16th St , Tucson , 536 , 4 , Breweries , $$
Zinburger , https://www.yelp.com/biz/zinburger-tucson-2 , 6390 E Grant Rd , Tucson , 551 , 4 , Burgers , $$ , https://www.yelp.com/biz/zinburger-tucson , 1865 E River Rd , Tucson , 734 , 4 , Burgers , $$
Presta Coffee Roasters , https://www.yelp.com/biz/presta-coffee-roasters-tucson , 2502 N 1st Ave , Tucson , 84 , 4 , Coffee Roasteries , $$ , https://www.yelp.com/biz/presta-coffee-roasters-tucson-2 , 100 S Avenida Del Convento , Tucson , 150 , 4 , Coffee &amp; Tea , $$
Miss Saigon , https://www.yelp.com/biz/miss-saigon-tucson , 1072 N Campbell Ave , Tucson , 629 , 4 , Vietnamese , $
Taco Fish , https://www.yelp.com/biz/taco-fish-tucson-2 , 4841 S 12th Ave , Tucson , 98 , 4 , Seafood , $
Lovin’ Spoonfuls Vegan Restaurant , https://www.yelp.com/biz/lovin-spoonfuls-vegan-restaurant-tucson , 2990 N Campbell Ave , Tucson , 465 , 4 , Vegan , $$
Cafe Poca Cosa , https://www.yelp.com/biz/cafe-poca-cosa-tucson , 110 E Pennington St , Tucson , 1276 , 4 , Mexican , $$
Tucson Botanical Gardens , https://www.yelp.com/biz/tucson-botanical-gardens-tucson , 2150 N Alvernon Way , Tucson , 179 , 4 , Botanical Gardens , 
Plazita Mexico Cafe , https://www.yelp.com/biz/plazita-mexico-cafe-tucson , 20 N Sarnoff Dr , Tucson , 31 , 4 , Mexican , 
Sushi Lounge , https://www.yelp.com/biz/sushi-lounge-tucson , 4802 S 6th Ave , Tucson , 156 , 4 , Sushi Bars , $$
Karamelo King , https://www.yelp.com/biz/karamelo-king-tucson , 3752 E Grant Rd , Tucson , 69 , 4 , Mexican , $
Com Tam Thuan Kieu , https://www.yelp.com/biz/com-tam-thuan-kieu-tucson , 1990 W Orange Grove Rd , Tucson , 235 , 4 , Vietnamese , $$
Contigo Latin Kitchen , https://www.yelp.com/biz/contigo-latin-kitchen-tucson , 3770 E Sunrise Dr , Tucson , 159 , 4 , Spanish , $$
Inca’s Peruvian Cuisine , https://www.yelp.com/biz/incas-peruvian-cuisine-tucson , 6878 E Sunrise Dr , Tucson , 241 , 4 , Latin American , $$
Back Dough , https://www.yelp.com/biz/back-dough-tucson , 6260 E Speedway Blvd , Tucson , 55 , 4 , Bakeries , $
First Watch , https://www.yelp.com/biz/first-watch-tucson-12 , 4775 E Grant Rd , Tucson , 175 , 4 , Breakfast &amp; Brunch , $$ , https://www.yelp.com/biz/first-watch-tucson-13 , 5350 E Broadway Blvd , Tucson , 171 , 4 , Breakfast &amp; Brunch , $$
El Perro Loco , https://www.yelp.com/biz/el-perro-loco-tucson , 3051 E 36th St , Tucson , 25 , 5 , Hot Dogs , $
Time Market , https://www.yelp.com/biz/time-market-tucson , 444 E University Blvd , Tucson , 341 , 4 , Pizza , $$
Cashew Cow , https://www.yelp.com/biz/cashew-cow-tucson , 16 S Eastbourne Ave , Tucson , 154 , 4 , Ice Cream &amp; Frozen Yogurt , $$
La Fresita Tucson , https://www.yelp.com/biz/la-fresita-tucson-tucson , 1450 W Saint Marys Rd , Tucson , 108 , 4 , Mexican , $
Selena’s Salvadorian , https://www.yelp.com/biz/selenas-salvadorian-tucson-2 , 2513 N Campbell Ave , Tucson , 43 , 4 , Salvadoran , $
Dominick’s Real Italian , https://www.yelp.com/biz/dominicks-real-italian-tucson , 8330 N Thornydale Rd , Tucson , 349 , 4 , Pizza , $$
Truland Burgers &amp; Greens , https://www.yelp.com/biz/truland-burgers-and-greens-tucson , 7332 N Oracle , Tucson , 289 , 4 , Salad , $$
Park Place , https://www.yelp.com/biz/street-taco-and-beer-tucson , 5870 E Broadway Blvd , Tucson , 34 , 4 , Tacos , $
Shish Kebab House of Tucson , https://www.yelp.com/biz/shish-kebab-house-of-tucson-tucson-3 , 5855 E Broadway Blvd , Tucson , 210 , 4 , Middle Eastern , $$
Mr Toro Carniceria , https://www.yelp.com/biz/mr-toro-carniceria-tucson-3 , 7545 S Houghton Rd , Tucson , 48 , 4 , Butcher , 
Obon Sushi Bar Ramen , https://www.yelp.com/biz/obon-sushi-bar-ramen-tucson-2 , 350 E Congress St , Tucson , 600 , 4 , Sushi Bars , $$
Pappoule’s , https://www.yelp.com/biz/pappoules-tucson-2 , 7475 N La Cholla Blvd , Tucson , 227 , 4 , Greek , $
Govindas Natural Foods Buffet , https://www.yelp.com/biz/govindas-natural-foods-buffet-tucson , 711 E Blacklidge Dr , Tucson , 165 , 4 , Vegetarian , $$
La Baguette Parisienne , https://www.yelp.com/biz/la-baguette-parisienne-tucson , 7851 E Broadway Blvd , Tucson , 80 , 4 , Bakeries , $
Sentinel Peak Brewing Company , https://www.yelp.com/biz/sentinel-peak-brewing-company-tucson , 4746 E Grant Rd , Tucson , 288 , 4 , American (New) , $$
Brewd Coffee &amp; Food , https://www.yelp.com/biz/brewd-coffee-and-food-tucson , 4960 N Sabino Canyon Rd , Tucson , 115 , 4 , Coffee &amp; Tea , $
Beyond Bread , https://www.yelp.com/biz/beyond-bread-tucson-2 , 3026 N Campbell Ave , Tucson , 402 , 4 , Bakeries , $$ , https://www.yelp.com/biz/beyond-bread-tucson , 6260 E Speedway Blvd , Tucson , 366 , 4 , Bakeries , $$
In-N-Out Burger , https://www.yelp.com/biz/in-n-out-burger-marana , 8180 Cortaro Rd , Tucson , 89 , 4 , Fast Food , $
Los Nopales Mexican Restaurant , https://www.yelp.com/biz/los-nopales-mexican-restaurant-tucson , 3051 S Kinney Rd , Tucson , 92 , 4 , Mexican , $
Sher-e-Punjab , https://www.yelp.com/biz/sher-e-punjab-tucson-2 , 853 East Grant Rd , Tucson , 374 , 4 , Indian , $$
Downtown Kitchen + Cocktails , https://www.yelp.com/biz/downtown-kitchen-cocktails-tucson , 135 S 6th Ave , Tucson , 566 , 4 , Cocktail Bars , $$$
Dogs-N-Donuts , https://www.yelp.com/biz/dogs-n-donuts-tucson , 7743 E Broadway Blvd , Tucson , 24 , 5 , Coffee &amp; Tea , 
Le Cave’s Bakery &amp; Donuts , https://www.yelp.com/biz/le-caves-bakery-and-donuts-tucson , 3950 E 22nd St , Tucson , 200 , 4 , Bakeries , $
Feast , https://www.yelp.com/biz/feast-tucson-2 , 3719 E Speedway Blvd , Tucson , 405 , 4 , American (New) , $$
Tamarind , https://www.yelp.com/biz/tamarind-tucson , 7265 N La Cholla Blvd , Tucson , 225 , 4 , Indian , $$
Gourmet Girls Gluten Free Bakery / Bistro , https://www.yelp.com/biz/gourmet-girls-gluten-free-bakery-bistro-tucson-2 , 5845 N Oracle Rd , Tucson , 212 , 4 , Bakeries , $$
Tohono Chul Park , https://www.yelp.com/biz/tohono-chul-park-tucson , 7366 N Paseo Del Norte , Tucson , 101 , 4 , Museums , 
Kung Fu Noodle , https://www.yelp.com/biz/kung-fu-noodle-tucson , 3122 N Campbell Ave , Tucson , 161 , 4 , Chinese , $$
HUB Restaurant &amp; Ice Creamery , https://www.yelp.com/biz/hub-restaurant-and-ice-creamery-tucson , 266 E Congress St , Tucson , 1157 , 4 , American (Traditional) , $$
Wings &amp; Rice , https://www.yelp.com/biz/wings-and-rice-tucson , 5502 E Pima St , Tucson , 195 , 4 , Chicken Wings , $$
Breadsmith , https://www.yelp.com/biz/breadsmith-oro-valley , 10355 N La Cañada Dr , Tucson , 34 , 4 , Bakeries , $$
TallBoys , https://www.yelp.com/biz/tallboys-tucson , 600 N 4th Ave , Tucson , 154 , 4 , Cocktail Bars , $$
Culinary Dropout , https://www.yelp.com/biz/culinary-dropout-tucson-2 , 2543 E Grant Rd , Tucson , 1025 , 4 , American (New) , $$
Gates Pass , https://www.yelp.com/biz/gates-pass-tucson , Gates Pass Rd , Tucson , 25 , 5 , Hiking , 
Maynards Market &amp; Kitchen , https://www.yelp.com/biz/maynards-market-and-kitchen-tucson-2 , 400 N Toole Ave , Tucson , 582 , 4 , Bars , $$
Caravan Grill , https://www.yelp.com/biz/caravan-grill-tucson-2 , 2825 N Country Club Rd , Tucson , 69 , 4 , Halal , $
Bread &amp; Butter Cafe , https://www.yelp.com/biz/bread-and-butter-cafe-tucson , 4231 E 22nd St , Tucson , 179 , 4 , Southern , $
Tucson Tamale , https://www.yelp.com/biz/tucson-tamale-tucson-3 , 7286 N Oracle Rd , Tucson , 179 , 4 , Mexican , $$
BK Tacos , https://www.yelp.com/biz/bk-tacos-tucson-2 , 5118 S 12th Ave , Tucson , 235 , 4 , Hot Dogs , $$ , https://www.yelp.com/biz/bk-tacos-tucson , 2680 N 1st Ave , Tucson , 413 , 4 , Mexican , $$
The Mini Time Machine Museum of Miniatures , https://www.yelp.com/biz/the-mini-time-machine-museum-of-miniatures-tucson-2 , 4455 E Camp Lowell Dr , Tucson , 93 , 4 , Museums , 
Sushi Zona , https://www.yelp.com/biz/sushi-zona-tucson , 5655 E River Rd , Tucson , 92 , 4 , Sushi Bars , $$
DeGrazia Gallery in the Sun , https://www.yelp.com/biz/degrazia-gallery-in-the-sun-tucson-2 , 6300 N Swan Rd , Tucson , 53 , 4 , Art Museums , 
The Canyon’s Crown , https://www.yelp.com/biz/the-canyons-crown-tucson , 6958 E Tanque Verde Rd , Tucson , 260 , 4 , Pubs , $$
Sullivan’s Eatery and Creamery , https://www.yelp.com/biz/sullivans-eatery-and-creamery-tucson , 6444 N Oracle Rd , Tucson , 208 , 4 , Established in 1977 , $
Villa Peru , https://www.yelp.com/biz/villa-peru-tucson , 1745 E River Rd , Tucson , 112 , 4 , Peruvian , $$
La Botana Tacos , https://www.yelp.com/biz/la-botana-tacos-tucson , 3200 N 1st Ave , Tucson , 296 , 4 , Mexican , $$
Mi Nidito Restaurant , https://www.yelp.com/biz/mi-nidito-restaurant-tucson-2 , 1813 S 4th Ave , Tucson , 694 , 4 , Mexican , $$
Teaholic , https://www.yelp.com/biz/teaholic-tucson-5 , 1031 N Park Ave , Tucson , 88 , 4 , Bubble Tea , $$
Cafe Santa Rosa , https://www.yelp.com/biz/cafe-santa-rosa-tucson-3 , 2615 S 6th Ave , Tucson , 72 , 4 , American (Traditional) , $
Paco’s , https://www.yelp.com/biz/pacos-tucson , 5563 E Grant Rd , Tucson , 171 , 4 , Mexican , $
Blue Willow Restaurant &amp; Gift Shop , https://www.yelp.com/biz/blue-willow-restaurant-and-gift-shop-tucson-2 , 2616 N Campbell Ave , Tucson , 544 , 4 , American (New) , $$
Guadalajara Original Grill , https://www.yelp.com/biz/guadalajara-original-grill-tucson , 1220 E Prince Rd , Tucson , 971 , 4 , Mexican , $$
Chocolate Iguana On 4th , https://www.yelp.com/biz/chocolate-iguana-on-4th-tucson , 431 N 4th Ave , Tucson , 106 , 4 , Coffee &amp; Tea , $
Taco Fish , https://www.yelp.com/biz/taco-fish-tucson-2 , 4841 S 12th Ave , Tucson , 98 , 4 , Seafood , $ , https://www.yelp.com/biz/taco-fish-tucson , 4841 S 12th Ave , Tucson , 43 , 4 , Mexican , $
Fire N’ Smoke Wood Fired Pizza &amp; BBQ , https://www.yelp.com/biz/fire-n-smoke-wood-fired-pizza-and-bbq-tucson , 6502 E Tanque Verde Rd , Tucson , 90 , 4 , Barbeque , $$
Daisy Mae’s Steakhouse , https://www.yelp.com/biz/daisy-maes-steakhouse-tucson , 2735 W Anklam Rd , Tucson , 289 , 4 , Steakhouses , $$
Raging Sage , https://www.yelp.com/biz/raging-sage-tucson , 2458 N Campbell Ave , Tucson , 294 , 4 , Coffee &amp; Tea , $$
Choice Greens , https://www.yelp.com/biz/choice-greens-tucson-2 , 2829 E Speedway Blvd , Tucson , 225 , 4 , Vegetarian , $$
Beyond Bread , https://www.yelp.com/biz/beyond-bread-tucson-2 , 3026 N Campbell Ave , Tucson , 402 , 4 , Bakeries , $$ , https://www.yelp.com/biz/beyond-bread-tucson , 6260 E Speedway Blvd , Tucson , 366 , 4 , Bakeries , $$ , https://www.yelp.com/biz/beyond-bread-tucson-3 , 421 W Ina Rd , Tucson , 225 , 4 , Bakeries , $
K Japanese Restaurant , https://www.yelp.com/biz/k-japanese-restaurant-tucson , 2962 N Campbell Ave , Tucson , 162 , 4 , Ramen , $$
Silver Saddle Steakhouse , https://www.yelp.com/biz/silver-saddle-steakhouse-tucson , 310 E Benson Hwy , Tucson , 529 , 4 , Steakhouses , $$
Linh-Nam Chinese Restaurant , https://www.yelp.com/biz/linh-nam-chinese-restaurant-marana , 3936 W Ina Rd , Tucson , 99 , 4 , Chinese , $
Bottega Michelangelo , https://www.yelp.com/biz/bottega-michelangelo-tucson , 420 W Magee Rd , Tucson , 275 , 4 , Italian , $$
1702 , https://www.yelp.com/biz/1702-tucson , 1702 E Speedway Blvd , Tucson , 327 , 4 , Pizza , $$
Martin’s Comida Chingona , https://www.yelp.com/biz/martins-comida-chingona-tucson , 557 N 4th Ave , Tucson , 164 , 4 , Mexican , $$
Jimmy’s Pizzeria , https://www.yelp.com/biz/jimmys-pizzeria-tucson , 5655 E River Rd , Tucson , 95 , 4 , Pizza , $$
Cartel Coffee Lab , https://www.yelp.com/biz/cartel-coffee-lab-tucson-3 , 210 E Broadway Blvd , Tucson , 147 , 4 , Coffee &amp; Tea , $$
Mr K’s BBQ , https://www.yelp.com/biz/mr-ks-bbq-tucson-6 , 6302 S Park Ave , Tucson , 154 , 4 , Barbeque , $$
Jimmy’s Pita &amp; Poke , https://www.yelp.com/biz/jimmys-pita-and-poke-tucson-3 , 3820 W River Rd , Tucson , 85 , 4 , Healthy dining , $$ , https://www.yelp.com/biz/jimmys-pita-and-poke-tucson-4 , 845 E University Blvd , Tucson , 143 , 4 , Salad , $
HUB Ice Cream Factory , https://www.yelp.com/biz/hub-ice-cream-factory-tucson , 245 E Congress St , Tucson , 163 , 4 , Ice Cream &amp; Frozen Yogurt , $$
Monsoon Chocolate , https://www.yelp.com/biz/monsoon-chocolate-tucson-2 , 234 E 22nd St , Tucson , 73 , 4 , Desserts , $$
Tanias 33 Mexican Food , https://www.yelp.com/biz/tanias-33-mexican-food-tucson , 614 N Grande Ave , Tucson , 260 , 4 , Mexican , $
Kimchi Time , https://www.yelp.com/biz/kimchi-time-tucson , 2900 E Broadway Blvd , Tucson , 342 , 4 , Korean , $$
Firebirds Wood Fired Grill , https://www.yelp.com/biz/firebirds-wood-fired-grill-tucson , 2985 E Skyline Dr , Tucson , 368 , 4 , Steakhouses , $$
Harvest Oro Valley , https://www.yelp.com/biz/harvest-oro-valley-oro-valley , 10355 N La Canada Dr , Tucson , 481 , 4 , American (New) , $$
Diablo Burger , https://www.yelp.com/biz/diablo-burger-tucson , 312 E Congress St , Tucson , 373 , 4 , Burgers , $$
Cup Quequitos , https://www.yelp.com/biz/cup-quequitos-tucson , 110 E Pennington St , Tucson , 36 , 4 , Cupcakes , $$
Monkey Burger , https://www.yelp.com/biz/monkey-burger-tucson , 5350 E Broadway Blvd , Tucson , 413 , 4 , Burgers , $$
Kingfisher Bar &amp; Grill , https://www.yelp.com/biz/kingfisher-bar-and-grill-tucson-2 , 2564 E Grant Rd , Tucson , 407 , 4 , Seafood , $$
Dolce Pastello , https://www.yelp.com/biz/dolce-pastello-tucson , 120 S Avenida Del Convento , Tucson , 37 , 4 , Desserts , $
Fresh Sushi Pho , https://www.yelp.com/biz/fresh-sushi-pho-tucson-3 , 7159 E Broadway Blvd , Tucson , 155 , 4 , Sushi Bars , $$
Istanbul Mediterranean Cuisine &amp; Bar , https://www.yelp.com/biz/istanbul-mediterranean-cuisine-and-bar-tucson , 2945 E Speedway Blv , Tucson , 89 , 4 , Mediterranean , $$
The Owls Club , https://www.yelp.com/biz/the-owls-club-tucson-2 , 236 S Scott Ave , Tucson , 73 , 4 , Whiskey Bars , $$
The Buffet , https://www.yelp.com/biz/the-buffet-tucson , 538 E 9th St , Tucson , 122 , 4 , Dive Bars , $
First Watch , https://www.yelp.com/biz/first-watch-tucson-12 , 4775 E Grant Rd , Tucson , 175 , 4 , Breakfast &amp; Brunch , $$ , https://www.yelp.com/biz/first-watch-tucson-13 , 5350 E Broadway Blvd , Tucson , 171 , 4 , Breakfast &amp; Brunch , $$ , https://www.yelp.com/biz/first-watch-tucson-14 , 7189 E Speedway Blvd , Tucson , 141 , 4 , Cafes , $$
Fresco Pizzeria , https://www.yelp.com/biz/fresco-pizzeria-tucson , 3011 E Speedway Blvd , Tucson , 194 , 4 , Pizza , $$
BBQ Rush Restaurant , https://www.yelp.com/biz/bbq-rush-restaurant-tucson-2 , 5151 S Country Club Rd , Tucson , 93 , 4 , Barbeque , $$
Bison Witches , https://www.yelp.com/biz/bison-witches-tucson , 326 N 4th Ave , Tucson , 498 , 4 , Delis , $$
Bombolé , https://www.yelp.com/biz/bombol%C3%A9-tucson , 100 N Stone Ave , Tucson , 42 , 4 , Indian , 
IOU Sushi IV , https://www.yelp.com/biz/iou-sushi-iv-tucson , 4280 N Oracle Rd , Tucson , 90 , 4 , Sushi Bars , $$
Vero Amore - Swan , https://www.yelp.com/biz/vero-amore-swan-tucson-2 , 2920 N Swan Rd , Tucson , 371 , 4 , Pizza , $$
In-N-Out Burger , https://www.yelp.com/biz/in-n-out-burger-marana , 8180 Cortaro Rd , Tucson , 89 , 4 , Fast Food , $ , https://www.yelp.com/biz/in-n-out-burger-tucson-2 , 1978 E Ajo Way , Tucson , 160 , 4 , Burgers , $
Saguaro Corners , https://www.yelp.com/biz/saguaro-corners-tucson-4 , 3750 S Old Spanish Trl , Tucson , 383 , 4 , American (New) , $$
Carnitas La Yoca , https://www.yelp.com/biz/carnitas-la-yoca-tucson , 3530 S 6th Ave , Tucson , 32 , 4 , Mexican , $
American Eat Company , https://www.yelp.com/biz/american-eat-company-tucson , 1439 S 4th Ave , Tucson , 193 , 4 , Food Court , $$
Maico , https://www.yelp.com/biz/maico-tucson , 835 E 22nd St , Tucson , 67 , 4 , Mexican , $
Happy Wok , https://www.yelp.com/biz/happy-wok-tucson , 9040 E Valencia Rd , Tucson , 107 , 4 , Asian Fusion , $$
Ensenada Street Food , https://www.yelp.com/biz/ensenada-street-food-tucson , 1602 S Park Ave , Tucson , 25 , 4 , Tacos , $
Rillito River Park , https://www.yelp.com/biz/rillito-river-park-tucson , 4200 N Campbell Ave , Tucson , 34 , 4 , Parks , 
Surly Wench Pub , https://www.yelp.com/biz/surly-wench-pub-tucson , 424 N 4th Ave , Tucson , 166 , 4 , Bars , $
Le Rendez-vous , https://www.yelp.com/biz/le-rendez-vous-tucson , 3844 E Fort Lowell Rd , Tucson , 191 , 4 , French , $$$
Poco &amp; Moms Cantina , https://www.yelp.com/biz/poco-and-moms-cantina-tucson-2 , 7000 E Tanque Verde Rd , Tucson , 395 , 4 , Mexican , $$
Roadrunner Coffee , https://www.yelp.com/biz/roadrunner-coffee-tucson , 9665 N Thornydale Rd , Tucson , 87 , 4 , Coffee &amp; Tea , $
Sushi Cortaro On River , https://www.yelp.com/biz/sushi-cortaro-on-river-tucson , 75 W River Rd , Tucson , 136 , 4 , Sushi Bars , $$
China Szechwan , https://www.yelp.com/biz/china-szechwan-tucson , 1800 E Fort Lowell Rd , Tucson , 333 , 4 , Szechuan , $$
Frozen Delight , https://www.yelp.com/biz/frozen-delight-tucson , 1101 N Wilmot Rd , Tucson , 52 , 4 , Ice Cream &amp; Frozen Yogurt , $
Ren Coffeehouse , https://www.yelp.com/biz/ren-coffeehouse-tucson , 4300 N Campbell Ave , Tucson , 51 , 4 , Coffee &amp; Tea , $$
Oasis Fruit Cones , https://www.yelp.com/biz/oasis-fruit-cones-tucson , 1002 W Saint Marys Rd , Tucson , 43 , 4 , Ice Cream &amp; Frozen Yogurt , $
Grumpy’s Grill , https://www.yelp.com/biz/grumpys-grill-tucson , 2960 W Ina Rd , Tucson , 204 , 4 , Breakfast &amp; Brunch , $
Sushi Cortaro , https://www.yelp.com/biz/sushi-cortaro-tucson , 8225 N Courtney Page Way , Tucson , 230 , 4 , Sushi Bars , $$
Charro Vida , https://www.yelp.com/biz/charro-vida-tucson-3 , 7109 N Oracle Rd , Tucson , 153 , 4 , Mediterranean , $$
Breakfast Stop , https://www.yelp.com/biz/breakfast-stop-tucson-4 , 6135 E 22nd St , Tucson , 93 , 4 , Breakfast &amp; Brunch , $
La Indita , https://www.yelp.com/biz/la-indita-tucson , 622 N 4th Ave , Tucson , 234 , 4 , Mexican , $$
The Flying V Bar &amp; Grill , https://www.yelp.com/biz/the-flying-v-bar-and-grill-tucson , 7000 N Resort Dr , Tucson , 135 , 4 , American (Traditional) , $$$
Empire Pizza &amp; Pub , https://www.yelp.com/biz/empire-pizza-and-pub-tucson , 137 E Congress St , Tucson , 319 , 4 , Pizza , $
Zpizza - Oro Valley , https://www.yelp.com/biz/zpizza-oro-valley-oro-valley , 11165 N La Canada Dr , Tucson , 172 , 4 , Pizza , $$
Kampai Sushi , https://www.yelp.com/biz/kampai-sushi-tucson-3 , 6486 N Oracle Rd , Tucson , 80 , 4 , Japanese , $$
The Blacktop Grill , https://www.yelp.com/biz/the-blacktop-grill-tucson ,  , Tucson , 22 , 5 , Hot Dogs , $
Bing’s Boba Tea , https://www.yelp.com/biz/bings-boba-tea-tucson , 2040 W Orange Grove Rd , Tucson , 151 , 4 , Coffee &amp; Tea , $
The Dusty Monk , https://www.yelp.com/biz/the-dusty-monk-tucson , 201 N Court Ave , Tucson , 31 , 4 , Pubs , $$
Elliott’s On Congress , https://www.yelp.com/biz/elliotts-on-congress-tucson , 135 E Congress St , Tucson , 202 , 4 , Bars , $$
Ruiz Hot Dogs , https://www.yelp.com/biz/ruiz-hot-dogs-tucson , 22ND St And 6th Ave , Tucson , 45 , 4 , Hot Dogs , $
Reid Park Biking/Walking Path , https://www.yelp.com/biz/reid-park-biking-walking-path-tucson , 1100 S Randolph Way , Tucson , 44 , 4 , Parks , 
Pho Can Tho , https://www.yelp.com/biz/pho-can-tho-tucson-4 , 2746 N Campbell Ave , Tucson , 72 , 4 , Vietnamese , $$
Amigos Burgers and Beer , https://www.yelp.com/biz/amigos-burgers-and-beer-tucson , 6372 S Nogales Hwy , Tucson , 143 , 4 , Burgers , $
Taqueria Y Raspados Jason , https://www.yelp.com/biz/taqueria-y-raspados-jason-tucson , 6041 E 22nd St , Tucson , 60 , 4 , Hot Dogs , $
Beaut Burger , https://www.yelp.com/biz/beaut-burger-tucson , 267 South Avenida Del Convento , Tucson , 109 , 4 , Burgers , $$
Bisbee Breakfast Club , https://www.yelp.com/biz/bisbee-breakfast-club-tucson-9 , 410 N Wilmot Rd , Tucson , 113 , 4 , American (Traditional) , $$
Guilin Chinese Restaurant , https://www.yelp.com/biz/guilin-chinese-restaurant-tucson-2 , 4445 E Broadway Blvd , Tucson , 132 , 4 , Chinese , $
Jerry Bob’s Restaurant , https://www.yelp.com/biz/jerry-bobs-restaurant-tucson-2 , 2680 E Valencia Rd , Tucson , 175 , 4 , Breakfast &amp; Brunch , $
MOD Pizza , https://www.yelp.com/biz/mod-pizza-tucson-2 , 4386 N Oracle Rd , Tucson , 119 , 4 , Fast Food , $ , https://www.yelp.com/biz/mod-pizza-tucson-3 , 6351 E Broadway Blvd , Tucson , 137 , 4 , Pizza , $$ , https://www.yelp.com/biz/mod-pizza-oro-valley , 10580 N Oracle Rd , Tucson , 108 , 4 , Fast Food , $
La Carreta del Rorro , https://www.yelp.com/biz/la-carreta-del-rorro-tucson , 4075 W Ina Rd , Tucson , 27 , 4 , Food Trucks , $
China Valley , https://www.yelp.com/biz/china-valley-oro-valley-2 , 10110 N Oracle Rd , Tucson , 70 , 4 , Szechuan , 
